name,url,facebook,twitter,other
札幌支部,http://www.kokuchpro.com/group/jaws_sapporo/,,,
函館支部,http://www.kokuchpro.com/group/jaws_hakodate/,,,
青森支部,https://jaws-tohoku.doorkeeper.jp/,https://www.facebook.com/jawsug.tohoku/,https://twitter.com/jawsug_tohoku,
秋田支部,https://jaws-tohoku.doorkeeper.jp/,https://www.facebook.com/jawsug.tohoku/,https://twitter.com/jawsug_tohoku,
仙台支部,https://jaws-tohoku.doorkeeper.jp/,https://www.facebook.com/jawsug.tohoku/,https://twitter.com/jawsug_tohoku,
山形支部,https://jaws-tohoku.doorkeeper.jp/,https://www.facebook.com/jawsug.tohoku/,https://twitter.com/jawsug_tohoku,
会津支部,https://jaws-tohoku.doorkeeper.jp/,https://www.facebook.com/jawsug.tohoku/,https://twitter.com/jawsug_tohoku,
東京支部,https://jawsug-tyo.connpass.com/,,,
横浜支部,https://jawsug-yokohama.connpass.com/,,,
さいたま支部,https://jawsug-saitama.doorkeeper.jp/,https://www.facebook.com/JAWS-UG-さいたま-481504091927223/,,
六本木一丁目,https://jawsug-ropponngi-1chome.doorkeeper.jp/,,,
金沢支部,https://jawsug-kanazawa.doorkeeper.jp,https://www.facebook.com/jawsug.kanazawa/,,GitHub https://github.com/jaws-ug-kanazawa / Slack Invitation Form http://bit.ly/jawsug-kanazawa-slack
上越妙高,https://jawsug-joetsumyoko.doorkeeper.jp/,,,
浜松支部,https://jawsug-hamamatsu.doorkeeper.jp/,,,
磐田支部,https://jawsug-iwata.connpass.com/,https://www.facebook.com/jawsug.iwata/,,
名古屋支部,https://jawsug-nagoya.doorkeeper.jp/,https://www.facebook.com/jawsug.nagoya/,https://twitter.com/JAWSUG_NAGOYA,
大阪支部,https://jawsugosaka.doorkeeper.jp/,https://www.facebook.com/JAWSUG.OSAKA/,,
JAWS-UG関西（ALL）,https://jawsugosaka.doorkeeper.jp/,https://www.facebook.com/JAWSUG.OSAKA/,,
神戸支部,https://jaws-ug-kobe.doorkeeper.jp/,https://www.facebook.com/groups/450069605016080/,,
京都支部,https://jawsugosaka.doorkeeper.jp/,,,
関西IoT,https://jawsugosaka.doorkeeper.jp/,,,
岡山支部,https://jaws-ug-okayama.doorkeeper.jp/,,,
島根支部,https://jawsug-shimane.doorkeeper.jp/,,,
広島支部,https://jawsug-hiroshima.doorkeeper.jp/,https://www.facebook.com/groups/394675807272408/,,
愛媛支部,https://jawsug-ehime.doorkeeper.jp/,https://www.facebook.com/groups/JawsUgEhime/,,
福岡支部,https://jaws-ug-kyushu.doorkeeper.jp/,https://www.facebook.com/groups/jaws.ug.kyushu/,,
熊本支部,https://jaws-ug-kumamoto.doorkeeper.jp/,https://www.facebook.com/groups/149820345109873/,,
大分支部,https://jawsug-oita.doorkeeper.jp,https://www.facebook.com/groups/333459230045924/,,
長崎支部,,,,
沖縄支部,https://jaws-ug-okinawa.doorkeeper.jp/,https://www.facebook.com/groups/jawsug.okinawa/,,
中央線支部,https://jaws-chuosen.connpass.com/,https://www.facebook.com/chuoline.jawsug/,,
京王線,https://jawsug-keioline.doorkeeper.jp/,,,